Rank,Name,HomeTown,Position,Height,Weight,Committed_To,Year,Conference
20,Zach Rice,"Lynchburg, VA",OT,6 ft 6 in,282,North Carolina,2022,ACC
21,Marvin Jones Jr.,"Fort Lauderdale, FL",Edge,6 ft 4.5 in,245,Georgia,2022,SEC
22,Conner Weigman,"Cypress, TX",QB,6 ft 2 in,208,Texas A&M,2022,SEC
23,DJ Campbell,"Arlington, TX",IOL,6 ft 3 in,310,Texas,2022,Big 12
24,Chris Marshall,"Missouri City, TX",WR,6 ft 3 in,195,Texas A&M,2022,SEC
25,Xavier Nwankpa,"Altoona, IA",S,6 ft 2 in,200,Iowa,2022,Big Ten
26,Jalon Walker,"Salisbury, NC",LB,6 ft 2 in,220,Georgia,2022,SEC
27,Sonny Styles,"Pickerington, OH",S,6 ft 4 in,215,Ohio State,2022,Big Ten
28,Dani Dennis-Sutton,"Owings Mills, MD",DL,6 ft 5 in,250,Penn State,2022,Big Ten
29,Ty Simpson,"Martin, TN",QB,6 ft 2 in,200,Alabama,2022,SEC
30,Kelvin Banks Jr.,"Humble, TX",OT,6 ft 5 in,300,Texas,2022,Big 12
31,Elijah Pritchett,"Columbus, GA",OT,6 ft 6 in,280,Alabama,2022,SEC
32,Anthony Lucas,"Scottsdale, AZ",DL,6 ft 4.5 in,275,Texas A&M,2022,SEC
33,Kiyaunta Goodwin,"Charlestown, IN",OT,6 ft 8 in,340,Kentucky,2022,SEC
1,Quinn Ewers,"Southlake, TX",QB,6 ft 3 in,206,Ohio State,2021,Big Ten
2,J.T. Tuimoloau,"Sammamish, WA",DL,6 ft 4.5 in,277,Ohio State,2021,Big Ten
3,Korey Foreman,"Corona, CA",DL,6 ft 4 in,265,USC,2021,Pac-12
4,Leonard Taylor III,"Miami, FL",DL,6 ft 4 in,265,Miami,2021,ACC
5,JC Latham,"Bradenton, FL",OT,6 ft 6 in,305,Alabama,2021,SEC
6,Jack Sawyer,"Pickerington, OH",DL,6 ft 5 in,248,Ohio State,2021,Big Ten
7,Donovan Jackson,"Bellaire, TX",IOL,6 ft 4.5 in,308,Ohio State,2021,Big Ten
8,Caleb Williams,"Washington, DC",QB,6 ft 1 in,210,Oklahoma,2021,Big 12
9,Emeka Egbuka,"Steilacoom, WA",WR,6 ft 1 in,190,Ohio State,2021,Big Ten
10,Tommy Brockermeyer,"Fort Worth, TX",OT,6 ft 6.25 in,283,Alabama,2021,SEC
11,TreVeyon Henderson,"Hopewell, VA",RB,5 ft 11 in,195,Ohio State,2021,Big Ten
12,Dallas Turner,"Fort Lauderdale, FL",Edge,6 ft 4 in,245,Alabama,2021,SEC
13,Kool-Aid McKinstry,"Pinson, AL",CB,6 ft 0.5 in,180,Alabama,2021,SEC
14,James Williams,"Opa Locka, FL",S,6 ft 5 in,218,Miami,2021,ACC
15,Amarius Mims,"Cochran, GA",OT,6 ft 7 in,315,Georgia,2021,SEC
16,Tristan Leigh,"Fairfax, VA",OT,6 ft 5 in,270,Clemson,2021,ACC
17,Nolan Rucci,"Lititz, PA",OT,6 ft 8 in,295,Wisconsin,2021,Big Ten
18,Barrett Carter,"Suwanee, GA",LB,6 ft 1 in,220,Clemson,2021,ACC
19,Nyland Green,"Covington, GA",CB,6 ft 2 in,183,Georgia,2021,SEC
20,Tyrion Ingram-Dawkins,"Gaffney, SC",DL,6 ft 5 in,298,Georgia,2021,SEC
21,Smael Mondon,"Dallas, GA",LB,6 ft 3 in,220,Georgia,2021,SEC
22,Chop Robinson,"Gaithersburg, MD",Edge,6 ft 3 in,220,Maryland,2021,Big Ten
23,Sam Huard,"Bellevue, WA",QB,6 ft 2 in,190,Washington,2021,Pac-12
24,Drake Maye,"Charlotte, NC",QB,6 ft 5 in,210,North Carolina,2021,ACC
25,Jason Marshall,"Miami, FL",CB,6 ft 2 in,180,Florida,2021,SEC
26,Terrion Arnold,"Tallahassee, FL",S,6 ft 0 in,180,Alabama,2021,SEC
27,Ja'Corey Brooks,"Bradenton, FL",WR,6 ft 3 in,185,Alabama,2021,SEC
28,Keeshawn Silver,"Rocky Mount, NC",DL,6 ft 6 in,275,North Carolina,2021,ACC
29,Deontae Lawson,"Mobile, AL",LB,6 ft 3 in,225,Alabama,2021,SEC
30,Ja'Tavion Sanders,"Denton, TX",ATH,6 ft 3.5 in,235,Texas,2021,Big 12
31,Maason Smith,"Houma, LA",DL,6 ft 5 in,316,LSU,2021,SEC
32,Kingsley Suamataia,"Orem, UT",OT,6 ft 5 in,280,Oregon,2021,Pac-12
33,Donovan Edwards,"West Bloomfield, MI",RB,5 ft 11 in,190,Michigan,2021,Big Ten
1,Bryce Young,"Santa Ana, CA",DUAL,5 ft 11 in,183,Alabama,2020,SEC
2,DJ Uiagalelei,"Bellflower, CA",PRO,6 ft 4.5 in,246,Clemson,2020,ACC
3,Bryan Bresee,"Damascus, MD",DT,6 ft 5 in,290,Clemson,2020,ACC
4,Julian Fleming,"Catawissa, PA",WR,6 ft 2 in,199,Ohio State,2020,Big Ten
5,Will Anderson,"Hampton, GA",WDE,6 ft 3 in,230,Alabama,2020,SEC
6,Gervon Dexter,"Lake Wales, FL",DT,6 ft 6.5 in,286,Florida,2020,SEC
7,Kelee Ringo,"Scottsdale, AZ",CB,6 ft 2 in,205,Georgia,2020,SEC
8,Paris Johnson Jr.,"Cincinnati, OH",OT,6 ft 7 in,290,Ohio State,2020,Big Ten
9,Jalen Carter,"Apopka, FL",DT,6 ft 3 in,301,Georgia,2020,SEC
10,Arik Gilbert,"Marietta, GA",TE,6 ft 5 in,253,LSU,2020,SEC
11,Justin Flowe,"Upland, CA",ILB,6 ft 2 in,225,Oregon,2020,Pac-12
12,Trenton Simpson,"Charlotte, NC",OLB,6 ft 3 in,224,Clemson,2020,ACC
13,Drew Sanders,"Denton, TX",ATH,6 ft 5 in,232,Alabama,2020,SEC
14,Myles Murphy,"Powder Springs, GA",SDE,6 ft 5 in,260,Clemson,2020,ACC
15,Jaxon Smith-Njigba,"Rockwall, TX",WR,6 ft 1 in,188,Ohio State,2020,Big Ten
16,Jaylon Jones,"Cibolo, TX",S,6 ft 1.5 in,190,Texas A&M,2020,SEC
17,Jordan Burch,"Columbia, SC",DT,6 ft 5 in,275,South Carolina,2020,SEC
18,Eli Ricks,"Rancho Cucamonga, CA",CB,6 ft 2 in,192,LSU,2020,SEC
19,Noah Sewell,"Orem, UT",ILB,6 ft 2 in,266,Oregon,2020,Pac-12
20,Kayshon Boutte,"New Iberia, LA",WR,6 ft 0 in,180,LSU,2020,SEC
21,Bijan Robinson,"Tucson, AZ",RB,6 ft 0 in,200,Texas,2020,Big 12
22,Demorie Tate,"Orlando, FL",CB,6 ft 1 in,189,Florida State,2020,ACC
23,Michael Mayer,"Alexandria, KY",TE,6 ft 4 in,232,Notre Dame,2020,Independent/ACC
24,Curtis Jacobs,"Owings Mills, MD",OLB,6 ft 2 in,220,Penn State,2020,Big Ten
25,Demarkcus Bowman,"Lakeland, FL",RB,5 ft 9 in,191,Clemson,2020,ACC
26,Jack Nelson,"Stoughton, WI",OT,6 ft 7 in,273,Wisconsin,2020,Big Ten
27,Peter Skoronski,"Park Ridge, IL",OC,6 ft 4 in,275,Northwestern,2020,Big Ten
28,Tim Smith,"Sebastian, FL",DT,6 ft 4 in,320,Alabama,2020,SEC
29,C.J. Stroud,"Rancho Cucamonga, CA",PRO,6 ft 2.5 in,194,Ohio State,2020,Big Ten
30,Broderick Jones,"Lithonia, GA",OT,6 ft 5 in,298,Georgia,2020,SEC
31,Demond Demas,"Tomball, TX",WR,6 ft 3 in,182,Texas A&M,2020,SEC
32,Alfred Collins,"Bastrop, TX",SDE,6 ft 5 in,284,Texas,2020,Big 12
1,Antonio Alfano,"Colonia, NJ",SDE,6 ft 4 in,285,Alabama,2019,SEC
2,Derek Stingley,"Baton Rouge, LA",CB,6 ft 0.5 in,188,LSU,2019,SEC
3,DeMarvin Leal,"Converse, TX",DT,6 ft 4 in,289,Texas A&M,2019,SEC
4,Nolan Smith,"Bradenton, FL",WDE,6 ft 3 in,227,Georgia,2019,SEC
5,Travon Walker,"Thomaston, GA",DT,6 ft 5 in,285,Georgia,2019,SEC
6,Kayvon Thibodeaux,"Thousand Oaks, CA",WDE,6 ft 4.5 in,239,Oregon,2019,Pac-12
7,Logan Brown,"Grand Rapids, MI",OT,6 ft 6 in,305,Wisconsin,2019,Big Ten
8,Charles Cross,"Laurel, MS",OT,6 ft 5 in,270,Mississippi State,2019,SEC
9,Spencer Rattler,"Phoenix, AZ",PRO,6 ft 1 in,198,Oklahoma,2019,Big 12
10,Bru McCoy,"Santa Ana, CA",ATH,6 ft 2 in,205,Texas,2019,Big 12
11,John Emery Jr.,"Destrehan, LA",RB,5 ft 11 in,206,LSU,2019,SEC
12,Brandon Smith,"Mineral, VA",ILB,6 ft 4 in,228,Penn State,2019,Big Ten
13,Lance Dixon,"West Bloomfield, MI",OLB,6 ft 2 in,201,Penn State,2019,Big Ten
14,Trey Sanders,"Bradenton, FL",RB,6 ft 0 in,214,Alabama,2019,SEC
15,Kyle Hamilton,"Atlanta, GA",S,6 ft 3 in,190,Notre Dame,2019,Independent/ACC
16,Baylor Cupp,"Brock, TX",TE,6 ft 6 in,240,Texas A&M,2019,SEC
17,Marcel Brooks,"Flower Mound, TX",OLB,6 ft 2 in,195,LSU,2019,SEC
18,Zacch Pickens,"Anderson, SC",DT,6 ft 3 in,293,South Carolina,2019,SEC
19,Jadon Haselwood,"Ellenwood, GA",WR,6 ft 2.5 in,196,Oklahoma,2019,Big 12
20,Tyrique Stevenson,"Homestead, FL",CB,6 ft 0.5 in,202,Georgia,2019,SEC
21,Nakobe Dean,"Horn Lake, MS",ILB,6 ft 0 in,220,Georgia,2019,SEC
22,Zach Harrison,"Lewis Center, OH",SDE,6 ft 5 in,253,Ohio State,2019,Big Ten
23,Daxton Hill,"Tulsa, OK",S,6 ft 0.5 in,186,Michigan,2019,Big Ten
24,Tyler Owens,"Plano, TX",S,6 ft 2 in,197,Texas,2019,Big 12
25,Darnell Wright,"Huntington, WV",OT,6 ft 6 in,320,Tennessee,2019,SEC
26,Jerrion Ealy,"Flowood, MS",RB,5 ft 10 in,200,Ole Miss,2019,SEC
27,George Karlaftis,"West Lafayette, IN",SDE,6 ft 4 in,265,Purdue,2019,Big Ten
28,Owen Pappoe,"Loganville, GA",OLB,6 ft 0 in,210,Auburn,2019,SEC
29,Garrett Wilson,"Austin, TX",WR,5 ft 11.5 in,175,Ohio State,2019,Big Ten
30,Scooby Carter,"Mansfield, TX",CB,6 ft 0 in,186,Alabama,2019,SEC
31,Kyle Ford,"Orange, CA",WR,6 ft 2 in,212,USC,2019,Pac-12
32,Evan Neal,"Bradenton, FL",OT,6 ft 7.5 in,360,Alabama,2019,SEC
1,Trevor Lawrence,"Cartersville, GA",PRO,6 ft 6 in,208,Clemson,2018,ACC
2,Justin Fields,"Kennesaw, GA",DUAL,6 ft 3 in,221,Georgia,2018,SEC
3,Eyabi Okie-Anoma,"Baltimore, MD",WDE,6 ft 5 in,235,Alabama,2018,SEC
4,Xavier Thomas,"Bradenton, FL",SDE,6 ft 3 in,260,Clemson,2018,ACC
5,Micah Parsons,"Harrisburg, PA",WDE,6 ft 3 in,235,Penn State,2018,Big Ten
6,JT Daniels,"Santa Ana, CA",PRO,6 ft 2 in,205,USC,2018,Pac-12
7,Justin Shorter,"Monmouth Junction, NJ",WR,6 ft 4 in,213,Penn State,2018,Big Ten
8,Jamaree Salyer,"Atlanta, GA",OG,6 ft 4 in,342,Georgia,2018,SEC
9,Nicholas Petit-Frere,"Tampa, FL",OT,6 ft 6 in,272,Ohio State,2018,Big Ten
10,Amon-Ra St. Brown,"Anaheim, CA",WR,5 ft 11.5 in,191,USC,2018,Pac-12
11,Patrick Surtain II,"Fort Lauderdale, FL",CB,6 ft 1.25 in,199,Alabama,2018,SEC
12,Tyson Campbell,"Fort Lauderdale, FL",CB,6 ft 2.5 in,180,Georgia,2018,SEC
13,Zamir White,"Laurinburg, NC",RB,6 ft 1 in,210,Georgia,2018,SEC
14,Jordyn Adams,"Cary, NC",WR,6 ft 2 in,175,North Carolina,2018,ACC
15,Brey Walker,"Moore, OK",OT,6 ft 7 in,320,Oklahoma,2018,Big 12
16,Jalen Redmond,"Oklahoma City, OK",WDE,6 ft 4 in,233,Oklahoma,2018,Big 12
17,Jalen Green,"Houston, TX",CB,6 ft 0 in,171,Texas,2018,Big 12
18,Jeremy Ruckert,"Lindenhurst, NY",TE,6 ft 5.5 in,238,Ohio State,2018,Big Ten
19,Ja'Marr Chase,"Metairie, LA",WR,6 ft 1 in,195,LSU,2018,SEC
20,Terrace Marshall,"Bossier City, LA",WR,6 ft 2.5 in,192,LSU,2018,SEC
21,Ale Kaho,"Reno, NV",ILB,6 ft 1 in,218,Alabama,2018,SEC
22,Palaie Gaoteote IV,"Las Vegas, NV",ILB,6 ft 2 in,235,USC,2018,Pac-12
23,Channing Tindall,"Columbia, SC",ILB,6 ft 2 in,213,Georgia,2018,SEC
24,Cameron McGrone,"Indianapolis, IN",OLB,6 ft 1 in,215,Michigan,2018,Big Ten
25,Josh Belk,"Richburg, SC",DT,6 ft 3 in,309,Clemson,2018,ACC
26,KJ Henry,"Clemmons, NC",WDE,6 ft 5.5 in,235,Clemson,2018,ACC
27,Adam Anderson,"Rome, GA",OLB,6 ft 4 in,214,Georgia,2018,SEC
28,DeMarvion Overshown,"Arp, TX",S,6 ft 4 in,200,Texas,2018,Big 12
29,Talanoa Hufanga,"Corvallis, OR",ATH,6 ft 0.5 in,193,USC,2018,Pac-12
30,Derion Kendrick,"Rock Hill, SC",WR,6 ft 1 in,184,Clemson,2018,ACC
31,Quay Walker,"Cordele, GA",OLB,6 ft 4 in,236,Georgia,2018,SEC
32,Caden Sterns,"Cibolo, TX",S,6 ft 1 in,192,Texas,2018,Big 12
1,Walker Little,"Bellaire, TX",OT,6 ft 7 in,315,Stanford,2017,Pac-12
2,Jaelan Phillips,"Redlands, CA",WDE,6 ft 5.5 in,253,UCLA,2017,Pac-12
3,Alex Leatherwood,"Pensacola, FL",OT,6 ft 6 in,327,Alabama,2017,SEC
4,Chase Young,"Hyattsville, MD",WDE,6 ft 5 in,251,Ohio State,2017,Big Ten
5,Trey Smith,"Jackson, TN",OT,6 ft 5 in,310,Tennessee,2017,SEC
6,A.J. Epenesa,"Edwardsville, IL",SDE,6 ft 5 in,260,Iowa,2017,Big Ten
7,Cam Akers,"Clinton, MS",RB,5 ft 11 in,213,Florida State,2017,ACC
8,Foster Sarell,"Graham, WA",OT,6 ft 6.5 in,311,Stanford,2017,Pac-12
9,Najee Harris,"Antioch, CA",RB,6 ft 3 in,226,Alabama,2017,SEC
10,Baron Browning,"Kennedale, TX",OLB,6 ft 2 in,229,Ohio State,2017,Big Ten
11,K'Lavon Chaisson,"Houston, TX",WDE,6 ft 4 in,220,LSU,2017,SEC
12,Jeff Okudah,"Grand Prairie, TX",CB,6 ft 1.5 in,190,Ohio State,2017,Big Ten
13,Marlon Tuipulotu,"Independence, OR",DT,6 ft 2 in,295,USC,2017,Pac-12
14,Jay Tufele,"South Jordan, UT",DT,6 ft 3 in,297,USC,2017,Pac-12
15,LaBryan Ray,"Madison, AL",SDE,6 ft 4 in,260,Alabama,2017,SEC
16,Shaun Wade,"Jacksonville, FL",CB,6 ft 1 in,177,Ohio State,2017,Big Ten
17,Richard LeCounte III,"Riceboro, GA",S,5 ft 10.5 in,174,Georgia,2017,SEC
18,T.D. Moultry,"Birmingham, AL",ILB,6 ft 2 in,225,Auburn,2017,SEC
19,Davis Mills,"Norcross, GA",PRO,6 ft 3 in,192,Stanford,2017,Pac-12
20,Joshua Kaindoh,"Bradenton, FL",WDE,6 ft 6 in,250,Florida State,2017,ACC
21,Austin Jackson,"Phoenix, AZ",OT,6 ft 6 in,280,USC,2017,Pac-12
22,Tua Tagovailoa,"Honolulu, HI",DUAL,6 ft 1 in,212,Alabama,2017,SEC
23,JaCoby Stevens,"Murfreesboro, TN",S,6 ft 1 in,200,LSU,2017,SEC
24,Henry Ruggs III,"Montgomery, AL",WR,6 ft 0 in,175,Alabama,2017,SEC
25,Calvin Ashley,"Washington, DC",OT,6 ft 6 in,310,Auburn,2017,SEC
26,Donovan Peoples-Jones,"Detroit, MI",WR,6 ft 2 in,193,Michigan,2017,Big Ten
27,Robert Barnes,"Southlake, TX",S,6 ft 3 in,194,Oklahoma,2017,Big 12
28,Colby Parkinson,"Thousand Oaks, CA",TE,6 ft 7 in,228,Stanford,2017,Pac-12
29,DeVonta Smith,"Amite, LA",WR,6 ft 1 in,160,Alabama,2017,SEC
30,Aubrey Solomon,"Leesburg, GA",DT,6 ft 3.25 in,288,Michigan,2017,Big Ten
31,Marvin Wilson,"Bellaire, TX",DT,6 ft 4 in,329,Florida State,2017,ACC
32,Dylan Moses,"Bradenton, FL",OLB,6 ft 2.5 in,235,Alabama,2017,SEC
1,Walker Little,"Bellaire, TX",OT,6 ft 7 in,315,Stanford,2017,Pac-12
2,Jaelan Phillips,"Redlands, CA",WDE,6 ft 5.5 in,253,UCLA,2017,Pac-12
3,Alex Leatherwood,"Pensacola, FL",OT,6 ft 6 in,327,Alabama,2017,SEC
4,Chase Young,"Hyattsville, MD",WDE,6 ft 5 in,251,Ohio State,2017,Big Ten
5,Trey Smith,"Jackson, TN",OT,6 ft 5 in,310,Tennessee,2017,SEC
6,A.J. Epenesa,"Edwardsville, IL",SDE,6 ft 5 in,260,Iowa,2017,Big Ten
7,Cam Akers,"Clinton, MS",RB,5 ft 11 in,213,Florida State,2017,ACC
8,Foster Sarell,"Graham, WA",OT,6 ft 6.5 in,311,Stanford,2017,Pac-12
9,Najee Harris,"Antioch, CA",RB,6 ft 3 in,226,Alabama,2017,SEC
10,Baron Browning,"Kennedale, TX",OLB,6 ft 2 in,229,Ohio State,2017,Big Ten
11,K'Lavon Chaisson,"Houston, TX",WDE,6 ft 4 in,220,LSU,2017,SEC
12,Jeff Okudah,"Grand Prairie, TX",CB,6 ft 1.5 in,190,Ohio State,2017,Big Ten
13,Marlon Tuipulotu,"Independence, OR",DT,6 ft 2 in,295,USC,2017,Pac-12
14,Jay Tufele,"South Jordan, UT",DT,6 ft 3 in,297,USC,2017,Pac-12
15,LaBryan Ray,"Madison, AL",SDE,6 ft 4 in,260,Alabama,2017,SEC
16,Shaun Wade,"Jacksonville, FL",CB,6 ft 1 in,177,Ohio State,2017,Big Ten
17,Richard LeCounte III,"Riceboro, GA",S,5 ft 10.5 in,174,Georgia,2017,SEC
18,T.D. Moultry,"Birmingham, AL",ILB,6 ft 2 in,225,Auburn,2017,SEC
19,Davis Mills,"Norcross, GA",PRO,6 ft 3 in,192,Stanford,2017,Pac-12
20,Joshua Kaindoh,"Bradenton, FL",WDE,6 ft 6 in,250,Florida State,2017,ACC
21,Austin Jackson,"Phoenix, AZ",OT,6 ft 6 in,280,USC,2017,Pac-12
22,Tua Tagovailoa,"Honolulu, HI",DUAL,6 ft 1 in,212,Alabama,2017,SEC
23,JaCoby Stevens,"Murfreesboro, TN",S,6 ft 1 in,200,LSU,2017,SEC
24,Henry Ruggs III,"Montgomery, AL",WR,6 ft 0 in,175,Alabama,2017,SEC
25,Calvin Ashley,"Washington, DC",OT,6 ft 6 in,310,Auburn,2017,SEC
26,Donovan Peoples-Jones,"Detroit, MI",WR,6 ft 2 in,193,Michigan,2017,Big Ten
27,Robert Barnes,"Southlake, TX",S,6 ft 3 in,194,Oklahoma,2017,Big 12
28,Colby Parkinson,"Thousand Oaks, CA",TE,6 ft 7 in,228,Stanford,2017,Pac-12
29,DeVonta Smith,"Amite, LA",WR,6 ft 1 in,160,Alabama,2017,SEC
30,Aubrey Solomon,"Leesburg, GA",DT,6 ft 3.25 in,288,Michigan,2017,Big Ten
