,2024 season locations,Location,Game,Year,Winner,Score,Loser
82,Dec. 5,"Conway, SC","No. 18 Coastal Carolina 22, No. 13 BYU 17",2020,No. 18 Coastal Carolina 22,18-22,No. 13 BYU 17
83,Dec. 12,"West Point, NY","Army 15, Navy 0",2020,Army 15,15-0,Navy 0
84,Dec. 19,"Charlotte, NC","No. 3 Clemson 34, No. 2 Notre Dame 10 (ACC Championship)",2020,No. 3 Clemson 34,3-34,No. 2 Notre Dame 10 (ACC Championship)
85,Jan. 1,"New Orleans, LA (CFP semifinal)","No. 3 Ohio State 49, No. 2 Clemson 28",2020,No. 3 Ohio State 49,3-49,No. 2 Clemson 28
86,Jan. 11,"Miami Gardens, FL","No. 1 Alabama 52, No. 3 Ohio State 24",2020,No. 1 Alabama 52,1-52,No. 3 Ohio State 24
88,Aug. 24,"Orlando, FL (Disney World)","No. 8 Florida 24, Miami 20",2019,No. 8 Florida 24,8-24,Miami 20
89,Aug. 29,"Clemson, SC","No. 1 Clemson 52, Georgia Tech 14",2019,No. 1 Clemson 52,1-52,Georgia Tech 14
90,Aug. 31,"Arlington, TX","No. 16 Auburn 27, No. 11 Oregon 21",2019,No. 16 Auburn 27,16-27,No. 11 Oregon 21
91,Sept. 7,"Austin, TX","No. 6 LSU 45, No. 10 Texas 38",2019,No. 6 LSU 45,6-45,No. 10 Texas 38
92,Sept. 14,"Ames, IA","No. 20 Iowa 18, Iowa State 17",2019,No. 20 Iowa 18,20-18,Iowa State 17
93,Sept. 21,"Athens, GA","No. 3 Georgia 23, No. 7 Notre Dame 17",2019,No. 3 Georgia 23,3-23,No. 7 Notre Dame 17
94,Sept. 28,"Lincoln, NE","No. 5 Ohio State 48, Nebraska 7",2019,No. 5 Ohio State 48,5-48,Nebraska 7
95,Oct. 5,"Gainesville, FL","No. 10 Florida 24, No. 7 Auburn 13",2019,No. 10 Florida 24,10-24,No. 7 Auburn 13
96,Oct. 12,"Baton Rouge, LA","No. 5 LSU 42, No. 7 Florida 28",2019,No. 5 LSU 42,5-42,No. 7 Florida 28
97,Oct. 19,"University Park, PA","No. 7 Penn State 28, No. 16 Michigan 21",2019,No. 7 Penn State 28,7-28,No. 16 Michigan 21
98,Oct. 26,"Brookings, SD","North Dakota State 23, South Dakota State 16",2019,North Dakota State 23,23-16,South Dakota State 16
99,Nov. 2,"Memphis, TN","No. 24 Memphis 54, No. 15 SMU 48",2019,No. 24 Memphis 54,24-54,No. 15 SMU 48
100,Nov. 9,"Tuscaloosa, AL","No. 2 LSU 46, No. 3 Alabama 41",2019,No. 2 LSU 46,2-46,No. 3 Alabama 41
101,Nov. 16,"Waco, TX","No. 10 Oklahoma 34, No. 13 Baylor 31",2019,No. 10 Oklahoma 34,10-34,No. 13 Baylor 31
102,Nov. 23,"Columbus, OH","No. 2 Ohio State 28, No. 8 Penn State 17",2019,No. 2 Ohio State 28,2-28,No. 8 Penn State 17
103,Nov. 30,"Minneapolis, MN","No. 12 Wisconsin 38, No. 8 Minnesota 17",2019,No. 12 Wisconsin 38,12-38,No. 8 Minnesota 17
104,Dec. 7,"Atlanta, GA","No. 2 LSU 37, No. 4 Georgia 10 (SEC Championship Game)",2019,No. 2 LSU 37,2-37,No. 4 Georgia 10 (SEC Championship Game)
105,Dec. 14,"Philadelphia, PA","No. 23 Navy 31, Army 7",2019,No. 23 Navy 31,23-31,Army 7
106,Dec. 28,"Glendale, AZ (CFP semifinals)","No. 3 Clemson 29, No. 2 Ohio State 23",2019,No. 3 Clemson 29,3-29,No. 2 Ohio State 23
107,Jan. 1,"Pasadena, CA (Rose Bowl)","No. 6 Oregon 28, No. 8 Wisconsin 27",2019,No. 6 Oregon 28,6-28,No. 8 Wisconsin 27
108,Jan. 13,"New Orleans, LA","No. 1 LSU 42, No. 3 Clemson 25",2019,No. 1 LSU 42,1-42,No. 3 Clemson 25
109,Sept. 1,"South Bend, IN",No. 12 Notre Dame,2018,,,No. 12 Notre Dame
110,Sept. 8,"College Station, TX",No. 2 Clemson,2018,,,No. 2 Clemson
111,Sept. 15,"Forth Worth, TX",No. 4 Ohio State,2018,,,No. 4 Ohio State
113,Sept. 22,"Eugene, OR",No. 7 Stanford,2018,,,No. 7 Stanford
114,Sept. 29,"University Park, PA",No. 4 Ohio State,2018,,,No. 4 Ohio State
115,Oct. 6,"Dallas, TX",No. 19 Texas,2018,,,No. 19 Texas
116,Oct. 13,"Ann Arbor, MI",No. 12 Michigan,2018,,,No. 12 Michigan
117,Oct. 20,"Pullman, WA",No. 25 Washington State,2018,,,No. 25 Washington State
118,Oct. 27,"Jacksonville, FL",No. 7 Georgia,2018,,,No. 7 Georgia
119,Nov. 3,"Baton Rouge, LA",No. 1 Alabama,2018,,,No. 1 Alabama
120,Nov. 10,"Chestnut Hill, LA",No. 2 Clemson,2018,,,No. 2 Clemson
121,Nov. 17,"Orlando, FL",No. 11 UCF,2018,,,No. 11 UCF
122,Nov. 24,"Columbus, OH",No. 10 Ohio State,2018,,,No. 10 Ohio State
123,Dec. 1,"Atlanta, GA",No. 1 Alabama,2018,,,No. 1 Alabama
125,Dec. 8,"Philadelphia, PA",No. 22 Army,2018,,,No. 22 Army
126,Dec. 29,"Miami Gardens, FL (CFP Semifinal)",No. 1 Alabama,2018,,,No. 1 Alabama
127,Jan. 1,"Pasadena, CA (Rose Bowl)",No. 6 Ohio State,2018,,,No. 6 Ohio State
128,Jan. 7,"Santa Clara, CA",No. 2 Clemson,2018,,,No. 2 Clemson
