Rank,Name,HomeTown,Position,Height,Weight,Committed_To,Year,Conference,County
14,Luther Burden III,"East Saint Louis, IL",WR,6 ft 0 in,200,Missouri,2022,SEC,Unknown
15,Domani Jackson,"Santa Ana, CA",CB,6 ft 1 in,185,USC,2022,Pac-12,Unknown
16,Jihaad Campbell,"Bradenton, FL",Edge,6 ft 3 in,215,Alabama,2022,SEC,Manatee County
17,LT Overton,"Alpharetta, GA",DL,6 ft 4.5 in,265,Texas A&M,2022,SEC,Unknown
18,Daylen Everette,"Bradenton, FL",CB,6 ft 1 in,185,Georgia,2022,SEC,Manatee County
19,Nick Singleton,"Reading, PA",RB,6 ft 0 in,210,Penn State,2022,Big Ten,Unknown
20,Zach Rice,"Lynchburg, VA",OT,6 ft 6 in,282,North Carolina,2022,ACC,Unknown
21,Marvin Jones Jr.,"Fort Lauderdale, FL",Edge,6 ft 4.5 in,245,Georgia,2022,SEC,Unknown
22,Conner Weigman,"Cypress, TX",QB,6 ft 2 in,208,Texas A&M,2022,SEC,Unknown
23,DJ Campbell,"Arlington, TX",IOL,6 ft 3 in,310,Texas,2022,Big 12,Unknown
24,Chris Marshall,"Missouri City, TX",WR,6 ft 3 in,195,Texas A&M,2022,SEC,Unknown
25,Xavier Nwankpa,"Altoona, IA",S,6 ft 2 in,200,Iowa,2022,Big Ten,Unknown
26,Jalon Walker,"Salisbury, NC",LB,6 ft 2 in,220,Georgia,2022,SEC,Unknown
27,Sonny Styles,"Pickerington, OH",S,6 ft 4 in,215,Ohio State,2022,Big Ten,Unknown
28,Dani Dennis-Sutton,"Owings Mills, MD",DL,6 ft 5 in,250,Penn State,2022,Big Ten,Unknown
29,Ty Simpson,"Martin, TN",QB,6 ft 2 in,200,Alabama,2022,SEC,Unknown
30,Kelvin Banks Jr.,"Humble, TX",OT,6 ft 5 in,300,Texas,2022,Big 12,Unknown
31,Elijah Pritchett,"Columbus, GA",OT,6 ft 6 in,280,Alabama,2022,SEC,Unknown
32,Anthony Lucas,"Scottsdale, AZ",DL,6 ft 4.5 in,275,Texas A&M,2022,SEC,Unknown
33,Kiyaunta Goodwin,"Charlestown, IN",OT,6 ft 8 in,340,Kentucky,2022,SEC,Unknown
1,Quinn Ewers,"Southlake, TX",QB,6 ft 3 in,206,Ohio State,2021,Big Ten,Unknown
2,J.T. Tuimoloau,"Sammamish, WA",DL,6 ft 4.5 in,277,Ohio State,2021,Big Ten,Unknown
3,Korey Foreman,"Corona, CA",DL,6 ft 4 in,265,USC,2021,Pac-12,Unknown
4,Leonard Taylor III,"Miami, FL",DL,6 ft 4 in,265,Miami,2021,ACC,Unknown
5,JC Latham,"Bradenton, FL",OT,6 ft 6 in,305,Alabama,2021,SEC,Manatee County
6,Jack Sawyer,"Pickerington, OH",DL,6 ft 5 in,248,Ohio State,2021,Big Ten,Unknown
7,Donovan Jackson,"Bellaire, TX",IOL,6 ft 4.5 in,308,Ohio State,2021,Big Ten,Unknown
8,Caleb Williams,"Washington, DC",QB,6 ft 1 in,210,Oklahoma,2021,Big 12,Unknown
9,Emeka Egbuka,"Steilacoom, WA",WR,6 ft 1 in,190,Ohio State,2021,Big Ten,Unknown
10,Tommy Brockermeyer,"Fort Worth, TX",OT,6 ft 6.25 in,283,Alabama,2021,SEC,Unknown
11,TreVeyon Henderson,"Hopewell, VA",RB,5 ft 11 in,195,Ohio State,2021,Big Ten,Unknown
12,Dallas Turner,"Fort Lauderdale, FL",Edge,6 ft 4 in,245,Alabama,2021,SEC,Unknown
13,Kool-Aid McKinstry,"Pinson, AL",CB,6 ft 0.5 in,180,Alabama,2021,SEC,Unknown
14,James Williams,"Opa Locka, FL",S,6 ft 5 in,218,Miami,2021,ACC,Miami-Dade County
15,Amarius Mims,"Cochran, GA",OT,6 ft 7 in,315,Georgia,2021,SEC,Unknown
16,Tristan Leigh,"Fairfax, VA",OT,6 ft 5 in,270,Clemson,2021,ACC,Unknown
17,Nolan Rucci,"Lititz, PA",OT,6 ft 8 in,295,Wisconsin,2021,Big Ten,Unknown
18,Barrett Carter,"Suwanee, GA",LB,6 ft 1 in,220,Clemson,2021,ACC,Unknown
19,Nyland Green,"Covington, GA",CB,6 ft 2 in,183,Georgia,2021,SEC,Unknown
20,Tyrion Ingram-Dawkins,"Gaffney, SC",DL,6 ft 5 in,298,Georgia,2021,SEC,Unknown
21,Smael Mondon,"Dallas, GA",LB,6 ft 3 in,220,Georgia,2021,SEC,Unknown
